,Product Name,Product Price,Product Favorite,Product Rating,Product Rating Count,Product URL,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Garanti Tipi,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Bağlantılar,Klavye,Garanti Süresi,HDMI
692,LENOVO,28.749 TL,,5.0,1.0,https://www.trendyol.com/lenovo/ideapad-gaming3-intel-core-i5-12450h-12gb-ram-512gb-ssd-rtx3050ti-120hz-15-6-windows-11-p-811333038,Intel Core i5,8 GB,512 GB,Windows,Lenovo Türkiye Garantili,Nvidia GeForce RTX 3050 Ti,"15,6 inç",Oyun,Harici,6 GB,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
693,LENOVO,31.195 TL,164 kişi,5.0,2.0,https://www.trendyol.com/lenovo/ideapad-gaming-3-intel-core-i5-12450h-16gb-512gb-ssd-rtx3050-freedos-15-6-ips-tasinabilir-bi-p-784770988,Intel Core i5,16 GB,512 GB,Free Dos,Lenovo Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,Harici,4 GB ve altı,12450H,12+,12. Nesil,Yok,HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
694,ASUS,15.999 TL,,5.0,2.0,https://www.trendyol.com/asus/expertbook-b1502cba-bq0787-i5-1235u-16-gb-512-gb-ssd-15-6-dos-fhd-dizustu-bilgisayar-p-793073345,AMD A10,16 GB,SSD Yok,Free Dos,Resmi Distribütör Garantili,AMD Graphics,Belirtilmemiş,Ofis - İş,Dahili,Paylaşımlı,Belirtilmemiş,1,9. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
695,ACER,28.899 TL,121 kişi,4.3,3.0,https://www.trendyol.com/acer/nitro-5-intel-core-i5-12500h-8gb-1tb-ssd-rtx-4050-6gb-15-6-144hz-dos-acer-turkiye-garantili-p-778155058,Intel Core i5,8 GB,1 TB,Free Dos,ACER Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,12500H,12+,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (RGB Aydınlatmalı),2 Yıl,
696,MSI,44.400 TL,197 kişi,4.3,6.0,https://www.trendyol.com/msi/bravo-17-d7vf-069xtr-r7-7735hs-16gb-ddr5-rtx4060-gddr6-8gb-1tb-ssd-17-3-fhd-144hz-dos-p-786660961,AMD Ryzen 7,16 GB,1 TB,Free Dos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,"17,3 inç",Oyun,Harici,8 GB,Belirtilmemiş,16,7. Nesil,Yok,USB,Q Türkçe,2 Yıl,
697,Apple,49.000 TL,274 kişi,4.8,4.0,https://www.trendyol.com/apple/macbook-air-m2-16-gb-ram-256-gb-ssd-gece-yarisi-p-354498014,Apple M2,16 GB,256 GB,Mac Os,Apple Türkiye Garantili,M2 8 Çekirdekli,"13,6 inç",Ofis - İş,Dahili,Paylaşımlı,Belirtilmemiş,8,2. Nesil,Yok,Bluetooth,Q Türkçe (Aydınlatmalı),2 Yıl,
698,HP,16.590 TL,713 kişi,4.8,10.0,https://www.trendyol.com/hp/250-g8-i5-1135g7-16gb-512gb-ssd-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-853u7es8-p-767717595,Intel Core i5,16 GB,512 GB,Windows,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1135G7,4,11. Nesil,Yok,HDMI - USB,Q Türkçe (Aydınlatmasız),2 Yıl,
699,Dell,"16.306,07 TL",,5.0,1.0,https://www.trendyol.com/dell/vostro-3520-intel-core-i5-1235u-16gb-512-gb-ssd-120hz-15-6-windows-10-pro-n1605pvnb3520t31-p-796126162,Intel Core i5,16 GB,512 GB,Windows,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,
700,MONSTER,36.570 TL,113 kişi,5.0,3.0,https://www.trendyol.com/monster/abra-a5-v20-2-5-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-windows-11-15-6-fhd-144-hz-p-736990581,Intel Core i5,32 GB,1 TB,Windows,Monster Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,13500H,12+,13. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
701,MONSTER,25.499 TL,133 kişi,4.6,5.0,https://www.trendyol.com/monster/huma-h5-v4-1-1-intel-core-i5-1235u-16gb-ram-1tb-ssd-windows-11-15-6-fhd-p-458195384,Intel Core i5,16 GB,1 TB,Windows,Monster Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
702,ASUS,25.999 TL,,5.0,1.0,https://www.trendyol.com/asus/tuf-gaming-a15-amd-r5-7535hs-24gb-ddr5-ram-512gb-ssd-rtx2050-144hz-15-6-freedos-cimete-canta-p-837996678,AMD Ryzen 5,24 GB,512 GB,Free Dos,Asus Türkiye Garantili,Nvidia GeForce RTX 2050,"15,6 inç",Oyun,Harici,4 GB ve altı,7535HS,6,Ryzen 7000 Serisi,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
