Unnamed: 0,Ürün Markası,Ürün Fiyatı (TL),Ürün Favorisi,Ürün Puanı,Ürün Puan Sayısı,Ürün URL,İşlemci Tipi,Ram (GB),SSD Kapasitesi (GB),İşletim Sistemi,Garanti Tipi,Ekran Kartı,Ekran Boyutu (inch),Kullanım Amacı,Ekran Kartı Tipi,Ekran Kartı Hafızası (GB),İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Klavye,Garanti Süresi (Yıl),Ürün Modeli,Aydınlatma Durumu,HDMI,İşlemci Performans Skoru,İşlemci Performans Kategorisi,Ekran Kartı Markası,Ekran Kartı Kategorisi,İşlemci Markası,Fiyat Aralığı,cluster,performance_level,Ürün Rating
706,ASUS,33777,0,5.0,1,https://www.trendyol.com/asus/rog-strix-g15-g513rc-hn194a3-ryzen7-6800hs-32gb-512ssd-rtx3050-15-6-fullhd-freedos-tasinabilir-p-684483621,AMD Ryzen 7,32,512,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 3050,15.6,Oyun,1,4,6800HS,8,Ryzen 6000 Serisi,0,Q Türkçe,2,Rog,0,0,6.0,3,Nvidia,3,AMD,"(20000, 40000]",3,Orta Performans,10.004914004914005
707,ASUS,26999,270,3.7,3,https://www.trendyol.com/asus/vivobook-15-x1502za-ej1815-i7-12700h-16gb-ram-512gb-ssd-15-6-inc-fhd-p-813497464,Intel Core i7,16,512,FreeDos,Resmi Distribütör Garantili,Intel Graphics,15.6,Ev - Okul,0,0,12700H,14,12. Nesil,0,Q Türkçe,2,Vivobook,0,1,7.600000000000001,4,Intel,1,Intel,"(20000, 40000]",3,Orta Performans,7.099813931019194
708,ASUS,9767,251,3.0,2,https://www.trendyol.com/asus/x415ma-ek385w05-n4020-8gb-512ssd-14-fullhd-w11h-tasinabilir-bilgisayar-p-640001626,Intel Celeron,8,512,Windows,Resmi Distribütör Garantili,Intel Graphics,14.0,Ofis - İş,0,0,N4020,2,Gemini Lake Refresh,0,Q Türkçe,2,X415,0,0,2.0,1,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,5.515795305832149
709,LENOVO,14899,109,4.0,2,https://www.trendyol.com/lenovo/v15-g4-i5-12500h-8gb-512gb-ssd-15-6-fhd-fdos-notebook-83fs001htr-p-787815171,Intel Core i5,8,512,FreeDos,Resmi Distribütör Garantili,Intel Graphics,15.6,Ofis - İş,0,0,12500H,12,12. Nesil,0,Q Türkçe,2,V15,0,1,7.200000000000001,4,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,7.763974453640244
710,ASUS,35999,112,5.0,2,https://www.trendyol.com/asus/vivobook-16x-i5-12450h-16gb-512-ssd-rtx3050-16-fullhd-w11h-bilgisayar-snertech-p-796689716,Intel Core i5,16,512,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 3050,16.1,Ofis - İş,1,4,12450H,8,12. Nesil,1,Q Türkçe,2,Vivobook,0,1,6.4,3,Nvidia,3,Intel,"(20000, 40000]",3,Orta Performans,10.018257338678392
711,ACER,49300,468,5.0,10,https://www.trendyol.com/acer/nitro-5-an515-46-amd-ryzen-7-6800h-16-gb-1-tb-ssd-rtx-3070ti-8-gb-freedos-15-6-fhd-144-hz-notebook-p-769678718,AMD Ryzen 7,16,1024,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 3070Ti,15.6,Oyun,1,8,6800H,8,Ryzen 6000 Serisi,0,Q Türkçe,2,Nitro,1,1,6.0,3,Nvidia,4,AMD,"(40000, 60000]",1,Yüksek Performans,10.084500932921985
712,LENOVO,38999,103,5.0,1,https://www.trendyol.com/lenovo/thinkpad-e14-gen-5-i7-13700h-32gb-1tb-ssd-14-wuxga-freedos-21jls20ktx004-p-791538986,Intel Core i7,32,1024,FreeDos,Resmi Distribütör Garantili,Intel Graphics,14.0,Ofis - İş,0,0,13700H,14,13. Nesil,0,Q Türkçe,3,Thinkpad,1,1,8.0,4,Intel,1,Intel,"(20000, 40000]",3,Orta Performans,10.012662171399013
713,LENOVO,31299,0,5.0,1,https://www.trendyol.com/lenovo/ideapad-gaming-3-amd-ryzen-7-7735hs-32gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilg-p-751470168,AMD Ryzen 7,16,512,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,15.6,Oyun,1,6,7730U,8,Ryzen 7000 Serisi,0,Q Türkçe,2,Ideapad,1,0,6.4,3,Nvidia,5,AMD,"(20000, 40000]",3,Orta Performans,10.004914004914005
714,ASUS,27999,251,4.1,7,https://www.trendyol.com/asus/tuf-gaming-f15-fx506hf-i5-11400h-16gb-1tb-ssd-rtx2050-4gb-144hz-15-6-fhd-w11home-hn031-p-711553856,Intel Core i5,16,1024,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 2050,15.6,Oyun,1,4,11400H,6,11. Nesil,0,Q Türkçe,2,Tuf,1,1,5.6000000000000005,3,Nvidia,2,Intel,"(20000, 40000]",3,Orta Performans,8.017534767323717
715,HP,18434,231,5.0,4,https://www.trendyol.com/hp/255-g8-ryzen-5-5500-16gb-1tb-ssd-15-6-fdos-tasinabilir-bilgisayar-7n4w6aa-p-658737821,AMD Ryzen 5,16,1024,FreeDos,Resmi Distribütör Garantili,AMD Graphics,15.6,Ofis - İş,0,0,5500U,6,Ryzen 5000 Serisi,0,Q Türkçe,2,255,0,0,5.2,3,AMD,2,AMD,"(0, 20000]",0,Düşük Performans,10.037058580111212
716,LENOVO,20799,0,4.0,3,https://www.trendyol.com/lenovo/v15-g3-i7-1255u-24gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82tt0055tx002-p-765633797,Intel Core i7,24,512,FreeDos,Resmi Distribütör Garantili,Intel Graphics,15.6,Ofis - İş,0,0,1255U,6,12. Nesil,0,Q Türkçe,2,V15,0,0,6.000000000000001,3,Intel,1,Intel,"(20000, 40000]",0,Düşük Performans,7.7614250614250615
